regime,seed,epoch,value,C,T
student_alone,0,4.0,5.549443244934082,,
student_alone,1,5.0,5.5271759033203125,,
student_alone,2,4.0,5.511904239654541,,
hinton_kd,0,17.0,1.3281651133298873,,
hinton_kd,1,19.0,1.3244895642995835,,
hinton_kd,2,19.0,1.316803235411644,,
multi_teacher_fixed,0,4.0,0.7917476885893237,0.999994012626056,0.14963060304173115
multi_teacher_fixed,1,5.0,0.8034696423016063,0.999994012626056,0.14963060304173115
multi_teacher_fixed,2,4.0,0.7887437666101057,0.999994012626056,0.14963060304173115
arcd,0,4.0,0.7518345910160094,0.999994012626056,0.14963060304173115
arcd,1,4.0,0.7753793484090801,0.999994012626056,0.14963060304173115
arcd,2,4.0,0.7850145827292763,0.999994012626056,0.14963060304173115
arcd_diverse,0,4.0,0.7414954231453785,0.9999943425753822,0.11995386425305407
arcd_diverse,1,7.0,0.7462057334285845,0.9999943425753822,0.11995386425305407
arcd_diverse,2,4.0,0.7710625611578807,0.9999943425753822,0.11995386425305407
arcd_topk,0,9.0,0.7356579813770397,0.9774942324031517,0.14963060304173115
arcd_topk,1,7.0,0.7331043992742674,0.9774942324031517,0.14963060304173115
arcd_topk,2,4.0,0.7703807080778664,0.9774942324031517,0.14963060304173115
